GID,KEGG,KEGG_DESCRIPTION
106893300,K10404,KIF26; kinesin family member 26
106893301,K24354,SMOC; SPARC-related modular calcium-binding protein
106893279,K03374,"ST6GALNAC4; N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7D) [EC:2.4.3.7]"
106893302,K08869,"ADCK, ABC1; aarF domain-containing kinase"
106893303,K11660,MTA; metastasis-associated protein MTA
106893304,K23859,PLEKHG1_2_3; pleckstrin homology domain-containing family G member 1/2/3
106893305,K04215,OPRM1; mu-type opioid receptor
106893306,K10423,CLIP3_4; CAP-Gly domain-containing linker protein 3/4
106893307,K24484,FNDC1; fibronectin type III domain-containing protein 1
106893308,K25139,ERMARD; endoplasmic reticulum membrane-associated RNA degradation protein
106893309,K16861,PLD5; inactive phospholipase D5
106893310,,
106893311,K17964,"LRPPRC; leucine-rich PPR motif-containing protein, mitochondrial"
106893312,K05674,"ABCC10; ATP-binding cassette, subfamily C (CFTR/MRP), member 10"
106893313,K21843,TTC7; tetratricopeptide repeat protein 7
106893315,K08581,CAPN13; calpain-13 [EC:3.4.22.-]
106893319,K25059,SDE2; replication stress response regulator SDE2
106893321,K04668,LEFTY; left-right determination factor
106893322,K19328,SYT14_16; synaptotagmin-14/16
106893320,K00940,"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
106893323,K20289,COG2; conserved oligomeric Golgi complex subunit 2
106893324,K04079,"HSP90A, htpG; molecular chaperone HtpG"
106893325,K16546,FGFR10P; FGFR1 oncogene partner
106893326,K02184,FMN2; formin 2
106893327,K16449,RGS; regulator of G-protein signaling
106893328,K00852,"rbsK, RBKS; ribokinase [EC:2.7.1.15]"
106893329,K13144,INTS7; integrator complex subunit 7
106893330,,
106893331,K14300,NUP133; nuclear pore complex protein Nup133
106893332,K20216,DUSP10; dual specificity phosphatase 10 [EC:3.1.3.16 3.1.3.48]
106893333,,
106893337,,
106893338,K09821,"AGT, SERPINA8; angiotensinogen"
106893339,K24678,HHAT; protein-cysteine N-palmitoyltransferase HHAT [EC:2.3.1.-]
106893341,K22989,GPR137; integral membrane protein GPR137
106893342,K08550,"ESR1, NR3A1; estrogen receptor alpha"
106893343,K16534,DISC1; disrupted in schizophrenia 1 protein
106893345,K16534,DISC1; disrupted in schizophrenia 1 protein
106893346,K14774,"UTP25, DEF; U3 small nucleolar RNA-associated protein 25"
106893347,K04916,"KCNK5, K2P5.1; potassium channel subfamily K member 5"
106893349,,
106893350,K04659,THBS2S; thrombospondin 2/3/4/5
106893348,K00940,"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
106893351,K23324,EDARADD; ectodysplasin-A receptor-associated adapter protein
106893352,K03193,UST; dermatan/chondrotin sulfate uronyl 2-O-sulfotransferase UST [EC:2.8.2.-]
106893353,K09032,"ATF3, LRF1; activating transcription factor 3"
106893356,,
106893357,K08578,CAPN9; calpain-9 [EC:3.4.22.-]
106893358,K05119,"ALK, CD246; anaplastic lymphoma kinase [EC:2.7.10.1]"
106893360,K04913,"KCNK2, K2P2.1; potassium channel subfamily K member 2"
106893359,K09404,FOXK; forkhead box protein K
106893361,K10649,TRIM9_67; tripartite motif-containing protein 9/67
106893362,K12735,PPIL4; peptidyl-prolyl cis-trans isomerase-like 4 [EC:5.2.1.8]
106893363,,
106893364,K24506,VIT; vitrin
106893365,K14965,DPY30; protein dpy-30
106893367,K17534,"MLK4, KIAA1804; mitogen-activated protein kinase kinase kinase MLK4 [EC:2.7.11.25]"
106893151,K20120,BIN3; bridging integrator 3
106893344,K03374,"ST6GALNAC4; N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7D) [EC:2.4.3.7]"
106893366,K22991,"WDR45, WIPI4, WIPI3; WD repeat-containing protein 45"
106893368,K11545,"NSL1, MIS14, DC8; kinetochore-associated protein NSL1"
106893369,,
106893370,K14697,"SLC30A10, ZNT10; solute carrier family 30 (zinc transporter), member 10"
106893374,K05683,"ABCG5; ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)"
106893375,K10417,DYNC2LI; dynein cytoplasmic 2 light intermediate chain
106893376,,
106893377,K02946,"RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10"
106893378,K02874,"RP-L14, MRPL14, rplN; large subunit ribosomal protein L14"
106893379,K01253,EPHX1; microsomal epoxide hydrolase [EC:3.3.2.9]
106893380,,
106893382,K04904,"KCNH1, KV10.1; potassium voltage-gated channel Eag-related subfamily H member 1"
106893381,K11323,JMJD6; histone arginine demethylase JMJD6 [EC:1.14.11.-]
106893383,K16454,"CCSAP; centriole, cilia and spindle-associated protein"
106893384,K20364,MCFD2; multiple coagulation factor deficiency protein 2
106893385,K24051,SPRTN; SprT-like domain-contaning protein Spartan
106893386,K07918,RAB32; Ras-related protein Rab-32
106893387,K01166,RNASET2; ribonuclease T2 [EC:4.6.1.19]
106893388,,
106893389,K02835,"prfA, MTRF1, MRF1; peptide chain release factor 1"
106893391,K17795,TIM17; mitochondrial import inner membrane translocase subunit TIM17
106893390,K23151,METTL23; methyltransferase-like protein 23 [EC:2.1.1.-]
106893392,K04601,CELSR2; cadherin EGF LAG seven-pass G-type receptor 2
106893393,,
106893394,K01875,"SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]"
106893395,,
106893396,,
106893397,,
106893398,K07297,ADIPOR; adiponectin receptor
106893400,K22030,LMOD; leiomodin
106893401,K18267,NEB; nebulin
106893402,K11138,RIF1; telomere-associated protein RIF1
106893399,K12891,"SRSF2_8, SFRS2A_B; serine/arginine-rich splicing factor 2/8"
106893403,K19018,"TNFAIP6, TSG6; tumor necrosis factor-inducible gene 6 protein"
106893404,K26006,MMADHC; cobalamin trafficking protein CblD
106893405,,
106893406,,
106893407,K07859,RND3; Rho family GTPase 3
106893408,K25367,LYPD6; Ly-6/uPAR domain-containing protein 6
106893411,K20127,"BAIAP2L1, IRTKS; BAI1-associated protein 2-like protein 1"
106893413,K19759,DNAAF5; dynein axonemal assembly factor 5
106893414,K04359,PDGFA; platelet-derived growth factor subunit A
106893415,K21958,FAM20C; extracellular serine/threonine protein kinase FAM20C [EC:2.7.11.1]
106893416,,
106893417,K08898,LMTK2; lemur tyrosine kinase 2 [EC:2.7.10.1]
106893418,K25029,OTOA; otoancorin
106893419,,
106893420,K23926,PVALB; parvalbumin alpha
106893422,K23925,OCM; oncomodulin
106893423,K23926,PVALB; parvalbumin alpha
106893424,,
106893425,,
106893426,K04392,RAC1; Ras-related C3 botulinum toxin substrate 1
106893427,,
106893428,K17988,TECPR1; tectonin beta-propeller repeat-containing protein 1
106893429,K08040,"BHLHB8, MIST1; class B basic helix-loop-helix protein 8"
106893430,,
106893431,,
106893432,K11253,H3; histone H3
106893434,K08292,EEF2K; elongation factor 2 kinase [EC:2.7.11.20]
106893436,K25458,RSPH10B; radial spoke head protein 10B
106893435,K20317,"SPAG9, JIP4; c-Jun-amino-terminal kinase-interacting protein 4"
106893437,,
106893421,K05309,PTGES2; microsomal prostaglandin-E synthase 2 [EC:5.3.99.3]
106893439,K10858,PMS2; DNA mismatch repair protein PMS2
106893440,K14721,"RPC5, POLR3E; DNA-directed RNA polymerase III subunit RPC5"
106893441,K18441,CYTH; cytohesin
106893443,K08874,TRRAP; transformation/transcription domain-associated protein
106893444,K10949,KDELR; ER lumen protein retaining receptor
106893445,K16194,EIF2AK1; eukaryotic translation initiation factor 2-alpha kinase 1 [EC:2.7.11.1]
106893446,K15438,AIMP2; aminoacyl tRNA synthase complex-interacting multifunctional protein 2
106893447,K04739,PRKAR; cAMP-dependent protein kinase regulator
106893448,K11855,USP36_42; ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12]
106893449,,
106893450,K13806,DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.116]
106893451,,
106893452,,
106893453,K25709,NPTX; neuronal pentraxin
106893454,,
106893456,K10634,PJA2; E3 ubiquitin-protein ligase Praja2 [EC:2.3.2.27]
106893457,K23962,"EPB41L4A, NBL4; band 4.1-like protein 4A"
106893458,,
106893459,,
106893460,K10283,FBXL17; F-box and leucine-rich repeat protein 17
106893461,,
106893462,K06614,"ST8SIA4; alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8D) [EC:2.4.3.-]"
106893463,K06847,RGMB; RGM domain family member B
106893464,K05869,CAMK4; calcium/calmodulin-dependent protein kinase IV [EC:2.7.11.17]
106893465,,
106893466,K02085,APC; adenomatosis polyposis coli protein
106893467,K13024,"PPIP5K, VIP; inositol-hexakisphosphate/diphosphoinositol-pentakisphosphate 1-kinase [EC:2.7.4.24]"
106893468,,
106893470,K11367,CHD1; chromodomain-helicase-DNA-binding protein 1 [EC:5.6.2.-]
106893469,K05692,ACTB_G1; actin beta/gamma 1
106893472,K24006,PAM; peptidylglycine monooxygenase / peptidylamidoglycolate lyase [EC:1.14.17.3 4.3.2.5]
106893473,K08889,"FER, TYK3; tyrosine-protein kinase Fer [EC:2.7.10.2]"
106893474,K05462,EFNA; ephrin-A
106893475,K12613,DCP2; mRNA-decapping enzyme subunit 2 [EC:3.6.1.62]
106893477,K17279,REEP5_6; receptor expression-enhancing protein 5/6
106893478,K03105,SRP19; signal recognition particle subunit SRP19
106893479,K03454,"SLC25A46; solute carrier family 25, member 46"
106893476,,
106893480,K14355,"SLCO4C; solute carrier organic anion transporter family, member 4C"
106893482,,
106893483,K01231,MAN2; alpha-mannosidase II [EC:3.2.1.114]
106893484,K14554,"UTP21, WDR36; U3 small nucleolar RNA-associated protein 21"
106893485,,
106893486,,
106893487,K03426,"E3.6.1.22, NUDT12, nudC; NAD+ diphosphatase [EC:3.6.1.22]"
106893489,K23957,FMNL; formic-like protein
106893491,,
106893492,K15189,HEXIM1_2; protein HEXIM1/2
106893493,K11252,H2B; histone H2B
106893494,K10356,MYO1; myosin I
106893495,K00907,MYLK; myosin-light-chain kinase [EC:2.7.11.18]
106893496,K04466,"MAP3K14, NIK; mitogen-activated protein kinase kinase kinase 14 [EC:2.7.11.25]"
106893497,K18078,PTPDC1; protein tyrosine phosphatase domain-containing protein 1 [EC:3.1.3.-]
106893498,K19414,"PHF2, JHDM1E; lysine-specific demethylase PHF2 [EC:1.14.11.-]"
106893499,K18739,BICD; protein bicaudal D
106893502,K09361,BARX; BarH-like homeobox
106893503,,
106893504,K23821,SUSD3; sushi domain-containing protein 3
106893505,,
106893506,K08867,"WNK, PRKWNK; WNK lysine deficient protein kinase [EC:2.7.11.1]"
106893507,K05722,"FGD3; FYVE, RhoGEF and PH domain containing 3"
106893508,,
106893509,,
106893510,K23739,SH3BP5; SH3-domain binding protein 5
106893511,,
106893512,,
106893513,K09228,KRAB; KRAB domain-containing zinc finger protein
106893514,K09228,KRAB; KRAB domain-containing zinc finger protein
106893517,K09391,E2F7_8; transcription factor E2F7/8
106893519,K14014,SVIP; small VCP/p97-interacting protein
106893520,K10504,ZBTB25; zinc finger and BTB domain-containing protein 25
106893522,,
106893523,,
106893524,K16522,AKAP5; A-kinase anchor protein 5
106893521,K25401,LRRC45; leucine-rich repeat-containing protein 45
106893525,K17575,PPP1R36; protein phosphatase 1 regulatory subunit 36
106893526,,
106893527,,
106893528,,
106893529,,
106893530,K21635,JAG2; jagged-2
106893531,K01950,"E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]"
106893532,K05038,"SLC6A5_9, GLYT; solute carrier family 6 (neurotransmitter transporter, glycine) member 5/9"
106893533,K24342,NELL; protein kinase C-binding protein NELL
106893534,K00213,DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]
106893535,K08551,"ESR2, NR3A2; estrogen receptor beta"
106893537,K24875,DBX; homeobox protein DBX
106893539,K10893,FANCF; fanconi anemia group F protein
106893538,K15627,"ASPSCR1, ASPL; tether containing UBX domain for GLUT4"
106893544,,
106893547,K15196,"BRF1, GTF3B; transcription factor IIIB 90 kDa subunit"
106893548,K10478,BTBD3_6; BTB/POZ domain-containing protein 3/6
106893546,K15360,"STRA13, CENPX, MHF2; centromere protein X"
106893549,K10488,ZBTB1; zinc finger and BTB domain-containing protein 1
106893551,K19346,SYNE2; nesprin-2
106893553,K19483,NAV2; neuron navigator 2 [EC:5.6.2.4]
106893554,K20032,"ZDHHC13_17, HIP14; palmitoyltransferase ZDHHC13/17 [EC:2.3.1.225]"
106893556,K09377,CSRP; cysteine and glycine-rich protein
106893557,K00288,MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
106893555,K06471,"PECAM1, CD31; platelet/endothelial cell adhesion molecule"
106893558,K19480,"ANO5, GDD1, TMEM16E; anoctamin-5"
106893559,K08426,"GPR132, G2A; G protein-coupled receptor 132"
106893560,,
106893563,K24627,"GAS2, GAS2L; growth arrest-specific protein 2"
106893564,K03283,HSPA1s; heat shock 70kDa protein 1/2/6/8
106893565,K12302,"SLC17A6_7_8; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6/7/8"
106893566,K11436,PRMT3; type I protein arginine methyltransferase [EC:2.1.1.319]
106893567,,
106893568,K08077,NUDT14; UDP-sugar diphosphatase [EC:3.6.1.45]
106893569,K08533,"NR1F2, RORB; RAR-related orphan receptor beta"
106893570,K04981,"TRPM6, CHAK2; transient receptor potential cation channel subfamily M member 6 [EC:2.7.11.1]"
106893571,K19054,FXN; frataxin [EC:1.16.3.1]
106893573,K06098,"TJP2, ZO2; tight junction protein 2"
106893575,,
106893576,K10524,NRK1_2; nicotinamide/nicotinate riboside kinase [EC:2.7.1.22 2.7.1.173]
106893577,K00861,"RFK, FMN1; riboflavin kinase [EC:2.7.1.26]"
106893578,K08654,PCSK5; proprotein convertase subtilisin/kexin type 5 [EC:3.4.21.-]
106893579,K19787,CARNMT1; carnosine N-methyltransferase [EC:2.1.1.22]
106893580,K00889,PIP5K; 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
106893581,K05044,"SLC6A11, GAT3; solute carrier family 6 (neurotransmitter transporter, GABA) member 11"
106893582,K04149,HRH1; histamine receptor H1
106893583,K15322,TSEN2; tRNA-splicing endonuclease subunit Sen2 [EC:4.6.1.16]
106893584,K15687,MKRN; E3 ubiquitin-protein ligase makorin [EC:2.3.2.27]
106893585,,
106893586,,
106893587,K04366,RAF1; RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]
106893589,K19941,SYN; synapsin
106893590,K22584,TIMP4; metalloproteinase inhibitor 4
106893591,K09250,CNBP; cellular nucleic acid-binding protein
106893593,K17807,"TAM41, MMP37; mitochondrial translocator assembly and maintenance protein 41"
106893574,K14165,K14165; atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
106893594,,
106893595,K05034,"SLC6A1, GAT1; solute carrier family 6 (neurotransmitter transporter, GABA) member 1"
106893596,K08337,ATG7; ubiquitin-like modifier-activating enzyme ATG7
106893597,K08530,"NR1C3, PPARG; peroxisome proliferator-activated receptor gamma"
106893598,K25080,RBM44; RNA-binding protein 44
106893599,,
106893600,K07909,RAB17; Ras-related protein Rab-17
106893601,K05269,PRH; Prolactin-releasing peptide
106893602,K07909,RAB17; Ras-related protein Rab-17
106893603,K06238,COL6A; collagen type VI alpha
106893604,K12181,"COPS8, CSN8; COP9 signalosome complex subunit 8"
106893605,K22235,MLPH; melanophilin
106893606,K09392,TFDP2; transcription factor Dp-2
106893611,K14610,"SLC19A2_3, THTR; solute carrier family 19 (thiamine transporter), member 2/3"
106893612,K04745,CHST2; carbohydrate 6-sulfotransferase 2 [EC:2.8.2.-]
106893613,K24361,PCOLCE; procollagen C-endopeptidase enhancer
106893614,K17275,PLS1; plastin-1
106893615,K06640,ATR; serine/threonine-protein kinase ATR [EC:2.7.11.1]
106893616,K19583,GK5; putative glycerol kinase 5 [EC:2.7.1.30]
106893617,K08053,"RASA2, GAP1M; Ras GTPase-activating protein 2"
106893618,K14610,"SLC19A2_3, THTR; solute carrier family 19 (thiamine transporter), member 2/3"
106893619,,
106893620,K06237,COL4A; collagen type IV alpha
106893621,K09224,ZIC1; zinc finger protein ZIC 1
106893622,,
106893623,K19760,DAW1; dynein assembly factor with WDR repeat domains 1
106893625,K14625,CCL20; C-C motif chemokine 20
106893629,,
106893630,K04964,TRPC1; transient receptor potential cation channel subfamily C member 1
106893632,K10590,TRIP12; E3 ubiquitin-protein ligase TRIP12 [EC:2.3.2.26]
106893631,K18412,"TNRC6, GW182; trinucleotide repeat-containing gene 6 protein"
106893633,K01540,"ATP1B, CD298; sodium/potassium-transporting ATPase subunit beta"
106893634,K12618,"XRN1, SEP1, KEM1; 5'-3' exoribonuclease 1 [EC:3.1.13.-]"
106893635,K12842,SR140; U2-associated protein SR140
106893636,K10510,ZBTB38; zinc finger and BTB domain-containing protein 38
106893638,K22076,MFF; mitochondrial fission factor
106893639,K00909,GRK1_7; rhodopsin kinase [EC:2.7.11.14]
106893640,K08190,"SLC16A14; MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 14"
106893641,K10312,FBXO36; F-box protein 36
106893642,,
106893643,K13645,"PLOD2; procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [EC:1.14.11.4]"
106893644,K15044,AGFG1; Arf-GAP domain and FG repeats-containing protein 1
106893645,,
106893646,K25757,DIPK2; divergent protein kinase domain 2
106893647,K17425,MRPL44; large subunit ribosomal protein L44 [EC:3.1.26.-]
106893648,K14725,"SLC9A9, NHE9; solute carrier family 9 (sodium/hydrogen exchanger), member 9"
106893649,K24463,DNER; delta and Notch-like epidermal growth factor-related receptor
106893650,K14168,"CTU1, NCS6; cytoplasmic tRNA 2-thiolation protein 1 [EC:2.7.7.-]"
106893651,,
106893637,K11314,"TADA2A, ADA2; transcriptional adapter 2-alpha"
106893654,K08629,ADAMTS15; a disintegrin and metalloproteinase with thrombospondin motifs 15 [EC:3.4.24.-]
106893655,K08623,ADAMTS8; a disintegrin and metalloproteinase with thrombospondin motifs 8 [EC:3.4.24.-]
106893656,K09361,BARX; BarH-like homeobox
106893657,,
106893660,,
106893663,K08117,APLP2; amyloid-like protein 2
106893664,K08670,"ST14, PRSS14; suppressor of tumorigenicity protein 14 [EC:3.4.21.109]"
106893665,K11671,"NFRKB, INO80G; nuclear factor related to kappa-B-binding protein"
106893669,K10515,"ZBTB44, BTBD15; zinc finger and BTB domain-containing protein 44"
106893670,K24643,PRDM10; PR domain zinc finger protein 10 [EC:2.1.1.-]
106893671,K17930,SNX19; sorting nexin-19
106893673,K07512,"MECR, NRBF1; mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase [EC:1.3.1.- 1.3.1.38]"
106893674,K12387,LAPTM; lysosomal-associated transmembrane protein
106893675,K12893,"SRSF4_5_6, SFRS4_5_6; serine/arginine-rich splicing factor 4/5/6"
106893676,,
106893677,K16337,SDC3; syndecan 3
106893680,K19467,MATN; matrilin
106893681,K17943,PUM; pumilio RNA-binding family
106893682,K16662,PTPRU; receptor-type tyrosine-protein phosphatase U [EC:3.1.3.48]
106893683,K24387,L3MBTL; lethal(3)malignant brain tumor-like protein
106893684,K06820,PLXNA; plexin A
106893685,K17563,CHCHD3; MICOS complex subunit MIC19
106893686,K05017,CLCNKA; chloride channel Ka
106893687,K09546,HSPB7; heat shock protein beta-7
106893689,K23701,SH2D5; SH2 domain-containing protein 5
106893690,K10500,"ZBTB17, MIZ1; zinc finger and BTB domain-containing protein 17"
106893691,K22860,"RSG1, CPLANE2; REM2 and Rab-like small GTPase 1"
106893692,K22860,"RSG1, CPLANE2; REM2 and Rab-like small GTPase 1"
106893693,,
106893694,K16469,CROCC; rootletin
106893695,K12670,WBP1; oligosaccharyltransferase complex subunit beta
106893696,,
106893697,K20198,KIF17; kinesin family member 17
106893698,K24416,"FBLIM1, FBLP1; filamin-binding LIM protein 1"
106893699,K22860,"RSG1, CPLANE2; REM2 and Rab-like small GTPase 1"
106893700,K25100,SPEN; Msx2-interacting protein
106893701,K11885,DDI1; DNA damage-inducible protein 1
106893702,K15348,"PLEKHM2, SKIP; pleckstrin homology domain-containing family M member 2"
106893703,K20069,NECAP1_2; adaptin ear-binding coat-associated protein 1/2
106893704,K10317,FBXO42; F-box protein 42
106893705,K05103,"EPHA2, ECK; Eph receptor A2 [EC:2.7.10.1]"
106893708,K20125,FCHSD; F-BAR and double SH3 domains protein
106893709,K22077,GDAP1; ganglioside-induced differentiation-associated protein 1
106893707,K00995,"pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]"
106893710,K24836,"PI15, CRISP8; peptidase inhibitor 15"
106893711,K11151,RDH10; retinol dehydrogenase 10 [EC:1.1.1.-]
106893715,K04886,"KCNB2, KV2.2; potassium voltage-gated channel Shab-related subfamily B member 2"
106893716,K04984,"TRPA1, ANKTM1; transient receptor potential cation channel subfamily A member 1"
106893717,K11110,"TERF1, TRF1; telomeric repeat-binding factor 1"
106893718,K17597,STAU; double-stranded RNA-binding protein Staufen
106893719,K17966,"TMEM70; transmembrane protein 70, mitochondrial"
106893720,K19530,JPH; junctophilin
106893721,K06664,"PEX2, PXMP3; peroxin-2"
106893724,K08037,"NR2A2, HNF4G; hepatocyte nuclear factor 4-gamma"
106893725,K05400,"LY96, MD-2; lymphocyte antigen 96"
106893722,K24298,QRICH2; glutamine-rich protein 2
106893726,K09072,MSC; musculin (activated B-cell factor-1)
106893727,K05431,IL7; interleukin 7
106893728,K17597,STAU; double-stranded RNA-binding protein Staufen
106893729,K02937,"RP-L7e, RPL7; large subunit ribosomal protein L7e"
106893731,,
106893732,,
106893730,,
106893733,K09380,ZFHX4; zinc finger homeobox protein 4
106893734,K15985,PKIA; cAMP-dependent protein kinase inhibitor alpha
106893706,K10176,TBX2; T-box protein 2
106893735,K03872,"ELOC, TCEB1; elongin-C"
106893736,K19530,JPH; junctophilin
106893737,K24243,CRISPLD; cysteine-rich secretory protein LCCL domain-containing
106893739,,
106893740,K10688,"UBE2W, UBC16; ubiquitin-conjugating enzyme E2 W [EC:2.3.2.25]"
106893738,K08959,"CSNK1D; casein kinase 1, delta [EC:2.7.11.1]"
106893741,K05748,"WASF2; WAS protein family, member 2"
106893742,K22592,AHDC1; AT-hook DNA-binding motif-containing protein 1
106893743,,
106893744,,
106893745,,
106893746,,
106893748,K08447,RAMP1; receptor activity modifying protein 1
106893749,,
106893750,K00602,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
106893751,K05646,"ABCA12; ATP-binding cassette, subfamily A (ABC1), member 12"
106893752,K10683,BARD1; BRCA1-associated RING domain protein 1
106893754,K24735,SPAG16; sperm-associated antigen 16 protein
106893755,K05085,"ERBB4, HER4; receptor tyrosine-protein kinase erbB-4 [EC:2.7.10.1]"
106893756,,
106893753,K11417,"SIRT7, SIR2L7; NAD+-dependent protein deacetylase sirtuin 7 [EC:2.3.1.286]"
106893757,K10683,BARD1; BRCA1-associated RING domain protein 1
106893758,K09220,"IKZF, ZNFN1A; IKAROS family zinc finger protein"
106893759,,
106893761,K22669,"IFNL2_3, IL28; interferon lambda 2/3"
106893762,K22669,"IFNL2_3, IL28; interferon lambda 2/3"
106893764,K05717,FN1; fibronectin 1
106893765,K10687,UBE2F; ubiquitin-conjugating enzyme E2 F [EC:2.3.2.34]
106893767,K24521,VWC2; brorin
106893766,K00967,PCYT2; ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]
106893769,K06712,"BTN, CD277; butyrophilin"
106893770,,
106893771,,
106893773,K12047,MGAM; maltase-glucoamylase [EC:3.2.1.20 3.2.1.3]
106893774,K04437,FLNA; filamin
106893775,K12040,"SLC9A3, NHE3; solute carrier family 9 (sodium/hydrogen exchanger), member 3"
106893776,K08135,COL15A; collagen type XV alpha
106893777,K22399,TRIP13; pachytene checkpoint protein 2
106893778,K25867,TPPP; tubulin polymerization-promoting protein [EC:3.6.5.-]
106893779,K22184,BRD9; bromodomain-containing protein 9
106893780,,
106893781,K22399,TRIP13; pachytene checkpoint protein 2
106893782,K17513,CLEC17A; C-type lectin superfamily 17 member A
106893783,K19581,LPPR1_2_5; lipid phosphate phosphatase-related protein type 1/2/5
106893786,,
106893787,,
106893788,,
106893785,K04854,"CACNA1G, CAV3.1; voltage-dependent calcium channel T type alpha-1G"
106893789,K05213,"GRIN3A; glutamate receptor ionotropic, NMDA 3A"
106893791,K17431,MRPL50; large subunit ribosomal protein L50
106893792,K10696,BRE1; E3 ubiquitin-protein ligase BRE1 [EC:2.3.2.27]
106893793,,
106893794,K01623,"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
106893795,K00587,"ICMT, STE14; protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]"
106893796,,
106893797,K19558,NBL1; neuroblastoma suppressor of tumorigenicity 1
106893798,K04883,"KCNAB2; potassium voltage-gated channel Shaker-related subfamily A, beta member 2"
106893799,K24047,ESPN; espin
106893800,K05160,TNFRSF25; tumor necrosis factor receptor superfamily member 25
106893801,K19464,PLEKHG5; pleckstrin homology domain-containing family G member 5
106893802,K06947,"GRC3, NOL9; polynucleotide 5'-hydroxyl-kinase GRC3/NOL9 [EC:2.7.1.-]"
106893803,K04624,TAS1R1; taste receptor type 1 member 1
106893804,K10458,KLHL21; kelch-like protein 21
106893805,,
106893806,K15378,"SLC45A1_2_4; solute carrier family 45, member 1/2/4"
106893807,K01489,"cdd, CDA; cytidine deaminase [EC:3.5.4.5]"
106893808,K24510,VWA5; von Willebrand factor A domain-containing protein 5
106893809,K10691,"UBR4, ZUBR1; E3 ubiquitin-protein ligase UBR4 [EC:2.3.2.27]"
106893810,,
106893811,K09381,PAX3_7; paired box protein 3/7
106893812,K24352,UBXN10; UBX domain-containing protein 10
106893813,K02891,"RP-L22e, RPL22; large subunit ribosomal protein L22e"
106893814,K01047,"PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]"
106893815,K01047,"PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]"
106893816,K01047,"PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]"
106893784,K22970,DHRS11; 17beta-estradiol 17-dehydrogenase / 3beta-hydroxysteroid 3-dehydrogenase [EC:1.1.1.62 1.1.1.270]
106893817,K01047,"PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]"
106893818,K01480,speB; agmatinase [EC:3.5.3.11]
106893819,K15378,"SLC45A1_2_4; solute carrier family 45, member 1/2/4"
106893820,,
106893821,K04399,CASP9; caspase 9 [EC:3.4.22.62]
106893822,K02959,"RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16"
106893823,K09536,DNAJC16; DnaJ homolog subfamily C member 16
106893825,K05248,UTS2; urotensin 2
106893826,K10458,KLHL21; kelch-like protein 21
106893827,K10519,"ZBTB48, HKR3; zinc finger and BTB domain-containing protein 48"
106893828,K21596,CAMTA; calmodulin-binding transcription activator
106893829,,
106893830,K04162,HTR6; 5-hydroxytryptamine receptor 6
106893831,K25214,RNF186; E3 ubiquitin-protein ligase RNF186 [EC:2.3.2.27]
106893832,K17784,"MICOS10, MINOS1, MIC10; MICOS complex subunit MIC10"
106893833,K10365,"CAPZB; capping protein (actin filament) muscle Z-line, beta"
106893834,K15303,AKR7; aflatoxin B1 aldehyde reductase
106893835,K23678,"PQLC2, SLC66A1, LAAT1; solute carrier family 66 (lysosomal lysine-arginine transporter), member 1"
106893836,K14815,MRT4; mRNA turnover protein 4
106893837,K05146,"TNFRSF9, CD137; tumor necrosis factor receptor superfamily member 9"
